Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1696382680,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382681,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382682,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382683,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382684,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382685,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382686,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382687,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382688,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382689,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
